turn,ts_ms,heapUsed,heapTotal,rss,external,arrayBuffers,mutableMessagesCount,mutableMessagesApproxBytes,contentReplacementSeenIds,contentReplacementReplacements,perKeyClippedIdsEntries,perKeyClippedIdsTotalIds,event
70,102.3,1213789,4663296,113659904,38192519,0,280,28312830,140,0,0,0,
71,103.2,1213789,4827136,114446336,38192519,0,284,28721700,142,0,0,0,
72,103.8,1213789,4859904,114839552,38192519,0,288,28988262,144,0,0,0,
73,104.5,1213789,4925440,115232768,38192519,0,292,29318329,146,0,0,0,
74,105.5,1213789,5711872,116019200,38192519,0,296,29711903,148,0,0,0,
75,106.7,1213789,6842368,116805632,38192519,0,300,30168985,150,0,0,0,
76,107.7,1213789,7890944,117329920,38192519,0,304,30689569,152,0,0,0,
77,109.0,1213789,9185280,118116352,38192519,0,308,31273585,154,0,0,0,
78,109.6,1213789,9775104,118509568,38192519,0,312,31509491,156,0,0,0,
79,110.2,1213789,10479616,118771712,38192519,0,316,31808859,158,0,0,0,
80,114.8,1213789,4909056,119427072,43297601,0,320,32171755,160,0,0,0,
81,116.5,1213789,5056512,120082432,43297601,0,324,32598032,162,0,0,0,
82,118.2,1213789,5089280,120475648,43297601,0,328,33087814,164,0,0,0,
83,120.1,1213789,5892096,121393152,43297601,0,332,33641105,166,0,0,0,
84,121.8,1213789,6907904,122048512,43297601,0,336,34052096,168,0,0,0,
85,122.7,1213789,7530496,122310656,43297601,0,340,34320736,170,0,0,0,
86,123.9,1213789,8284160,122834944,43297601,0,344,34652849,172,0,0,0,
87,125.0,1213789,9267200,123490304,43297601,0,348,35048469,174,0,0,0,
88,125.9,1213789,10201088,123883520,43297601,0,352,35507596,176,0,0,0,
89,127.2,1213789,11413504,124669952,43297601,0,356,36030208,178,0,0,0,
90,132.4,1213789,5236736,126373888,49439002,0,360,36616354,180,0,0,0,
91,132.9,1213789,5384192,126636032,49439002,0,364,36854262,182,0,0,0,
92,133.6,1213789,5449728,127160320,49439002,0,368,37155687,184,0,0,0,
93,134.6,1213789,5482496,127815680,49439002,0,372,37520568,186,0,0,0,
94,135.4,1213789,5711872,128339968,49439002,0,376,37948917,188,0,0,0,
95,136.5,1213789,6842368,128995328,49439002,0,380,38440788,190,0,0,0,
96,137.9,1213789,8169472,129912832,49439002,0,384,38996122,192,0,0,0,
97,138.8,1213789,9070592,130306048,49439002,0,388,39409150,194,0,0,0,
98,139.4,1213789,9709568,130699264,49439002,0,392,39679819,196,0,0,0,
99,140.3,1213789,10594304,131223552,49439002,0,396,40014043,198,0,0,0,
100,164.4,1213789,5499904,182923264,54439600,0,400,862830,200,196,1,196,compact
101,166.1,1213789,5647360,183447552,54439600,0,404,1323978,202,196,1,196,
102,167.8,1213789,5696512,183447552,54439600,0,408,1848580,204,196,1,196,
103,169.0,1213789,6220800,184102912,54439600,0,412,2436679,206,196,1,196,
104,169.5,1213789,6810624,184233984,54439600,0,416,2676707,208,196,1,196,
105,170.2,1213789,7597056,184496128,54439600,0,420,2980132,210,196,1,196,
106,171.0,1213789,8383488,185020416,54439600,0,424,3347044,212,196,1,196,
107,171.9,1213789,9350144,185151488,54439600,0,428,3777513,214,196,1,196,
108,173.0,1213789,10562560,185282560,54439600,0,432,4271458,216,196,1,196,
109,174.2,1213789,11758592,185937920,54439600,0,436,4828902,218,196,1,196,
110,178.7,1213789,5909504,186986496,60158539,0,440,5243970,220,196,1,196,
111,179.4,1213789,6056960,186986496,60158539,0,444,5516738,222,196,1,196,
112,180.0,1213789,6106112,186986496,60158539,0,448,5853020,224,196,1,196,
113,180.7,1213789,6171648,187117568,60158539,0,452,6252764,226,196,1,196,
114,181.8,1213789,6384640,187117568,60158539,0,456,6715970,228,196,1,196,
115,182.6,1213789,7465984,187117568,60158539,0,460,7242661,230,196,1,196,
116,184.0,1213789,8776704,187772928,60158539,0,464,7832876,232,196,1,196,
117,184.5,1213789,9382912,187904000,60158539,0,468,8074902,234,196,1,196,
118,185.1,1213789,10038272,187904000,60158539,0,472,8380454,236,196,1,196,
119,185.8,1213789,10939392,187904000,60158539,0,476,8749452,238,196,1,196,
120,190.6,1213789,6089728,188035072,65456985,0,480,9181934,240,196,1,196,
121,192.2,1213789,6253568,188035072,65456985,0,484,9677952,242,196,1,196,
122,194.1,1213789,6302720,188559360,65456985,0,488,10237403,244,196,1,196,
123,195.5,1213789,6368256,189214720,65456985,0,492,10654589,246,196,1,196,
124,195.9,1213789,6794240,189214720,65456985,0,496,10929363,248,196,1,196,
125,196.6,1213789,7613440,189214720,65456985,0,500,11267605,250,196,1,196,
126,197.6,1213789,8645632,189607936,65456985,0,504,11669348,252,196,1,196,
127,198.4,1213789,9579520,189607936,65456985,0,508,12134558,254,196,1,196,
128,199.6,1213789,10742784,190132224,65456985,0,512,12663304,256,196,1,196,
129,201.1,1213789,12233728,190787584,65456985,0,516,13255500,258,196,1,196,
130,205.7,1213789,6351872,190787584,71281392,0,520,13499545,260,196,1,196,
131,206.8,1213789,6532096,190787584,71281392,0,524,13807139,262,196,1,196,
132,208.1,1213789,6597632,190918656,71281392,0,528,14178225,264,196,1,196,
133,209.6,1213789,6679552,190918656,71281392,0,532,14612817,266,196,1,196,
134,211.3,1213789,6745088,191442944,71281392,0,536,15110808,268,196,1,196,
135,213.5,1213789,8006656,192098304,71281392,0,540,15672347,270,196,1,196,
136,214.7,1213789,8940544,192098304,71281392,0,544,16091559,272,196,1,196,
137,215.2,1213789,9579520,192098304,71281392,0,548,16368398,274,196,1,196,
138,216.0,1213789,10447872,192098304,71281392,0,552,16708742,276,196,1,196,
139,216.7,1213789,11332608,192098304,71281392,0,556,17112526,278,196,1,196,
140,221.7,1213789,6564864,192491520,76768029,0,560,17579792,280,196,1,196,
141,223.7,1213789,6728704,193015808,76768029,0,564,18110592,282,196,1,196,
142,225.6,1213789,6810624,193015808,76768029,0,568,18704842,284,196,1,196,
143,226.4,1213789,6876160,193015808,76768029,0,572,18950963,286,196,1,196,
144,227.6,1213789,6958080,193146880,76768029,0,576,19260576,288,196,1,196,
145,228.8,1213789,7662592,193146880,76768029,0,580,19633684,290,196,1,196,
146,230.3,1213789,8678400,193671168,76768029,0,584,20070273,292,196,1,196,
147,231.5,1213789,9890816,194195456,76768029,0,588,20570334,294,196,1,196,
148,232.5,1213789,11021312,194195456,76768029,0,592,21133854,296,196,1,196,
149,233.3,1213789,11955200,194195456,76768029,0,596,21555046,298,196,1,196,
150,238.0,1213789,6794240,194195456,82255069,0,600,21833920,300,196,1,196,
151,239.1,1213789,6941696,194195456,82255069,0,604,22176275,302,196,1,196,
152,240.5,1213789,6990848,194588672,82255069,0,608,22582105,304,196,1,196,
153,241.8,1213789,7056384,195244032,82255069,0,612,23051442,306,196,1,196,
154,242.7,1213789,7105536,195244032,82255069,0,616,23584329,308,196,1,196,
155,244.0,1213789,8154112,196161536,82255069,0,620,24180668,310,196,1,196,
156,244.6,1213789,8809472,196161536,82255069,0,624,24428885,312,196,1,196,
157,245.2,1213789,9432064,196161536,82255069,0,628,24740585,314,196,1,196,
158,246.0,1213789,10284032,196554752,82255069,0,632,25115705,316,196,1,196,
159,247.1,1213789,11398144,197107712,82255069,0,636,25554300,318,196,1,196,
160,251.6,1213789,7007232,197369856,87733253,0,640,26056394,320,196,1,196,
161,253.0,1213789,7154688,198025216,87733253,0,644,26622007,322,196,1,196,
162,254.1,1213789,7187456,198680576,87733253,0,648,27045309,324,196,1,196,
163,254.6,1213789,7220224,198680576,87733253,0,652,27326231,326,196,1,196,
164,255.3,1213789,7252992,198680576,87733253,0,656,27670674,328,196,1,196,
165,256.3,1213789,7629824,199073792,87733253,0,660,28078605,330,196,1,196,
166,257.1,1213789,8580096,199073792,87733253,0,664,28550051,332,196,1,196,
167,258.3,1213789,9710592,199598080,87733253,0,668,29084921,334,196,1,196,
168,259.7,1213789,11119616,200122368,87733253,0,672,29683315,336,196,1,196,
169,260.1,1213789,11676672,200122368,87733253,0,676,29933589,338,196,1,196,
170,264.8,1213789,7203840,198754304,93608926,0,680,30247307,340,196,1,196,
171,265.8,1213789,7334912,198885376,93608926,0,684,30624499,342,196,1,196,
172,266.6,1213789,7351296,199016448,93608926,0,688,31065164,344,196,1,196,
173,267.8,1213789,7367680,199671808,93608926,0,692,31569357,346,196,1,196,
174,269.1,1213789,7416832,200196096,93608926,0,696,32137012,348,196,1,196,
175,270.0,1213789,8154112,200327168,93608926,0,700,32562338,350,196,1,196,
176,270.6,1213789,8776704,200327168,93608926,0,704,32845312,352,196,1,196,
177,271.4,1213789,9612288,200458240,93608926,0,708,33191780,354,196,1,196,
178,272.1,1213789,10431488,200458240,93608926,0,712,33601790,356,196,1,196,
179,273.2,1213789,11496448,200982528,93608926,0,716,34075258,358,196,1,196,
180,278.4,1213789,7416832,201900032,99493928,0,720,34612171,360,196,1,196,
181,279.2,1213789,7547904,201900032,99493928,0,724,35006753,362,196,1,196,
